,Ticker,Shares
1,DUOL,58.72444929171822
2,SHOP.TO,150.68593130323956
3,JPM,71.04428728581077
4,ABBV,155.69692256979064
5,AXP,87.49350173994158
6,HOOD,601.0236148031311
7,SPG,113.90813493667933
8,OXY,309.9816344040781
9,BK,200.46121926344784
10,SO,387.4827311459107
11,CSCO,273.4759408571794
12,CVS,959.0147212044878
13,ORCL,268.0983091296739
14,PEP,153.41118584555372
15,GM,438.4991629648703
16,SLB,1085.8565894531446
17,AW.TO,1024.1096342719898
18,BAC,461.34014260128333
19,AUST,10716.9697514412
20,T.TO,3069.712855455635
21,T.TO,2845.578808689567
22,VZ,972.9439139517305
23,RY.TO,236.51170850244927
24,TD.TO,797.16827788685
